RegionName,Year,AvgRent
"Abilene, TX",2014,833.2533670555694
"Abilene, TX",2015,837.7245605271582
"Abilene, TX",2016,868.7505843014393
"Abilene, TX",2017,924.4189144810495
"Abilene, TX",2018,1000.2308527143773
"Abilene, TX",2019,1014.5728493100455
"Abilene, TX",2020,992.3437272371654
"Abilene, TX",2021,980.6622128025884
"Abilene, TX",2022,1401.0779218812677
"Abilene, TX",2023,1576.6303454426836
"Abilene, TX",2024,1619.4849428201644
"Akron, OH",2012,795.0931472656092
"Akron, OH",2013,832.3454886049876
"Akron, OH",2014,862.1151261963536
"Akron, OH",2015,861.6988701009342
"Akron, OH",2016,882.1677579345373
"Akron, OH",2017,937.9097616996756
"Akron, OH",2018,1033.7308752378299
"Akron, OH",2019,1045.217248827051
"Akron, OH",2020,994.305545705356
"Akron, OH",2021,1116.0914509440652
"Akron, OH",2022,1445.5929737180468
"Akron, OH",2023,1706.6325232228817
"Albany, GA",2012,627.9876579560072
"Albany, GA",2013,644.2353600498144
"Albany, GA",2014,645.9815305762596
"Albany, GA",2015,662.5552479333147
"Albany, GA",2016,657.5268383421136
"Albany, GA",2017,670.8258155893442
"Albany, GA",2018,727.5717562792825
"Albany, GA",2019,732.9169353131701
"Albany, GA",2020,726.0128790647541
"Albany, GA",2021,785.4369038108584
"Albany, GA",2022,1066.8937793798168
"Albany, GA",2023,1253.2373789610847
"Albany, NY",2015,1367.2265836936651
"Albany, NY",2016,1628.3776166641758
"Albany, NY",2017,1648.9276807374654
"Albany, NY",2018,1701.187285437345
"Albany, NY",2021,1913.2303777861969
"Albany, OR",2012,829.6045908374844
"Albany, OR",2013,1065.8253283272602
"Albany, OR",2014,1149.7110655589452
"Albany, OR",2015,1185.1521492115876
"Albany, OR",2016,1283.090597850598
"Albany, OR",2017,1452.5664943627762
"Albany, OR",2018,1665.3106261142045
"Albany, OR",2019,1697.051836147338
"Albany, OR",2020,1692.5953982879216
"Albany, OR",2021,1907.013509041724
"Albany, OR",2022,2677.592601905765
"Albany, OR",2023,3038.79234015124
"Albuquerque, NM",2013,1082.1384208456832
"Albuquerque, NM",2014,1113.7848465742775
"Albuquerque, NM",2015,4947.410664278862
"Albuquerque, NM",2016,1132.795239126398
"Albuquerque, NM",2017,1208.419916024604
"Albuquerque, NM",2018,1298.6415040210377
"Albuquerque, NM",2019,1283.8442429511126
"Albuquerque, NM",2020,1316.5288792867937
"Albuquerque, NM",2021,1471.803315884916
"Albuquerque, NM",2022,2086.0782670943486
"Albuquerque, NM",2023,2485.3947691335406
"Alexandria, LA",2012,732.9488676235577
"Alexandria, LA",2013,800.8901647574867
"Alexandria, LA",2014,827.7219853648386
"Alexandria, LA",2015,828.7400689420238
"Alexandria, LA",2016,833.9374337386777
"Alexandria, LA",2017,863.5181600761125
"Alexandria, LA",2018,936.9408686915831
"Alexandria, LA",2019,893.1600874309347
"Alexandria, LA",2020,862.3039110568443
"Alexandria, LA",2021,868.7579048376414
"Alexandria, LA",2022,1104.5205852750785
"Alexandria, LA",2024,1167.8714110301912
"Allentown, PA",2012,1415.6384670652417
"Allentown, PA",2013,1442.4574891646719
"Allentown, PA",2014,1485.956311383686
"Allentown, PA",2015,1460.1763073426373
"Allentown, PA",2016,1490.7648765044642
"Allentown, PA",2017,1488.8282948168323
"Allentown, PA",2018,1259.6859404106533
"Allentown, PA",2019,1186.7925356457376
"Allentown, PA",2020,1467.9732449864962
"Allentown, PA",2021,1614.3473171322792
"Allentown, PA",2022,2234.535308094903
"Allentown, PA",2023,2593.7398934835624
"Allentown, PA",2024,2723.6550591396003
"Altoona, PA",2015,748.7251275534048
"Altoona, PA",2018,979.5735228450972
"Altoona, PA",2020,938.9287477212969
"Altoona, PA",2021,967.5486622931859
"Altoona, PA",2022,1190.8463781158969
"Altoona, PA",2023,1307.7819776085455
"Amarillo, TX",2014,940.5901174826486
"Amarillo, TX",2015,963.7339977157412
"Amarillo, TX",2016,971.7666181760114
